fecha;provincia;casos_confirmados;nuevos_positivos;altas;fallecimientos;codigo_ine;Posicion
2023-08-28;Palencia;68423;43;4539;764;34120;42.432128,-4.520647
2023-08-28;Salamanca;120057;59;7593;1283;37274;40.833333,-6.0
2023-08-28;Segovia;52407;24;3018;488;40004;41.166667,-4.0
2023-08-28;Soria;35522;15;2310;398;42173;41.666667,-2.666667
2023-08-28;León;151994;65;10662;1756;24089;42.666667,-6.0
2023-08-28;Valladolid;198160;67;13437;1795;47186;41.583333,-4.666667
2023-08-28;Ávila;57504;49;3792;655;5019;40.616092,-4.929031
2023-08-28;Zamora;59290;47;4259;762;49275;41.75,-6.0
2023-08-27;León;151929;42;10662;1756;24089;42.666667,-6.0
2023-08-27;Segovia;52383;18;3018;488;40004;41.166667,-4.0
2023-08-27;Soria;35507;13;2309;398;42173;41.666667,-2.666667
2023-08-27;Zamora;59243;25;4258;761;49275;41.75,-6.0
2023-08-27;Salamanca;119998;27;7592;1282;37274;40.833333,-6.0
2023-08-27;Ávila;57455;17;3792;655;5019;40.616092,-4.929031
2023-08-27;Burgos;130357;22;8361;1195;9059;42.383333,-3.666667
2023-08-27;Palencia;68380;13;4539;764;34120;42.432128,-4.520647
2023-08-27;Valladolid;198093;31;13434;1795;47186;41.583333,-4.666667
2023-08-26;Ávila;57438;22;3791;655;5019;40.616092,-4.929031
2023-08-26;Burgos;130335;22;8358;1194;9059;42.383333,-3.666667
2023-08-26;Segovia;52365;20;3017;488;40004;41.166667,-4.0
2023-08-26;Zamora;59218;25;4256;760;49275;41.75,-6.0
2023-08-26;León;151887;44;10661;1755;24089;42.666667,-6.0
2023-08-26;Salamanca;119971;33;7586;1281;37274;40.833333,-6.0
2023-08-26;Valladolid;198062;31;13433;1795;47186;41.583333,-4.666667
2023-08-26;Palencia;68367;13;4539;764;34120;42.432128,-4.520647
2023-08-26;Soria;35494;9;2309;398;42173;41.666667,-2.666667
2023-08-25;Salamanca;119938;42;7577;1279;37274;40.833333,-6.0
2023-08-25;Segovia;52345;24;3015;488;40004;41.166667,-4.0
2023-08-25;Valladolid;198031;61;13421;1795;47186;41.583333,-4.666667
2023-08-25;Ávila;57416;43;3790;655;5019;40.616092,-4.929031
2023-08-25;Burgos;130313;35;8350;1193;9059;42.383333,-3.666667
2023-08-25;León;151843;62;10651;1755;24089;42.666667,-6.0
2023-08-25;Soria;35485;21;2305;398;42173;41.666667,-2.666667
2023-08-25;Zamora;59193;32;4253;759;49275;41.75,-6.0
2023-08-25;Palencia;68354;31;4537;764;34120;42.432128,-4.520647
2023-08-24;Burgos;130278;32;8346;1192;9059;42.383333,-3.666667
2023-08-24;Valladolid;197970;59;13413;1794;47186;41.583333,-4.666667
2023-08-24;Ávila;57373;40;3788;655;5019;40.616092,-4.929031
2023-08-24;Palencia;68323;25;4535;764;34120;42.432128,-4.520647
2023-08-24;Segovia;52321;25;3010;488;40004;41.166667,-4.0
2023-08-24;Soria;35464;17;2304;398;42173;41.666667,-2.666667
2023-08-24;Zamora;59161;25;4252;759;49275;41.75,-6.0
2023-08-24;León;151781;50;10641;1755;24089;42.666667,-6.0
2023-08-24;Salamanca;119896;58;7572;1277;37274;40.833333,-6.0
2023-08-23;Ávila;57333;69;3786;655;5019;40.616092,-4.929031
2023-08-23;Soria;35447;15;2303;398;42173;41.666667,-2.666667
2023-08-23;Zamora;59136;43;4248;759;49275;41.75,-6.0
2023-08-23;Palencia;68298;32;4534;764;34120;42.432128,-4.520647
2023-08-23;Salamanca;119838;52;7566;1277;37274;40.833333,-6.0
2023-08-23;Segovia;52296;18;3007;488;40004;41.166667,-4.0
2023-08-23;Burgos;130246;32;8343;1191;9059;42.383333,-3.666667
2023-08-23;León;151731;63;10635;1755;24089;42.666667,-6.0
2023-08-23;Valladolid;197911;48;13404;1794;47186;41.583333,-4.666667
2023-08-22;Palencia;68266;27;4530;764;34120;42.432128,-4.520647
2023-08-22;Salamanca;119786;53;7560;1276;37274;40.833333,-6.0
2023-08-22;Segovia;52278;18;3004;488;40004;41.166667,-4.0
2023-08-22;Soria;35432;17;2303;398;42173;41.666667,-2.666667
2023-08-22;León;151668;67;10631;1755;24089;42.666667,-6.0
2023-08-22;Zamora;59093;37;4244;758;49275;41.75,-6.0
2023-08-22;Ávila;57264;51;3783;655;5019;40.616092,-4.929031
2023-08-22;Burgos;130214;32;8333;1191;9059;42.383333,-3.666667
2023-08-22;Valladolid;197863;45;13393;1793;47186;41.583333,-4.666667
2023-08-21;Burgos;130182;38;8326;1191;9059;42.383333,-3.666667
2023-08-21;Palencia;68239;22;4529;764;34120;42.432128,-4.520647
2023-08-21;Ávila;57213;68;3783;655;5019;40.616092,-4.929031
2023-08-21;León;151601;73;10628;1755;24089;42.666667,-6.0
2023-08-21;Segovia;52260;16;3003;488;40004;41.166667,-4.0
2023-08-21;Salamanca;119733;73;7550;1276;37274;40.833333,-6.0
2023-08-21;Soria;35415;15;2302;398;42173;41.666667,-2.666667
2023-08-21;Valladolid;197818;51;13385;1793;47186;41.583333,-4.666667
2023-08-21;Zamora;59056;36;4244;758;49275;41.75,-6.0
2023-08-20;Ávila;57145;33;3783;655;5019;40.616092,-4.929031
2023-08-20;Burgos;130144;22;8326;1191;9059;42.383333,-3.666667
2023-08-20;León;151528;37;10627;1755;24089;42.666667,-6.0
2023-08-20;Palencia;68217;12;4528;763;34120;42.432128,-4.520647
2023-08-20;Salamanca;119660;28;7550;1276;37274;40.833333,-6.0
2023-08-20;Segovia;52244;17;3003;488;40004;41.166667,-4.0
2023-08-20;Zamora;59020;34;4244;758;49275;41.75,-6.0
2023-08-20;Soria;35400;11;2301;398;42173;41.666667,-2.666667
2023-08-20;Valladolid;197767;27;13383;1792;47186;41.583333,-4.666667
2023-08-19;León;151491;33;10627;1755;24089;42.666667,-6.0
2023-08-19;Salamanca;119632;36;7550;1276;37274;40.833333,-6.0
2023-08-19;Segovia;52227;12;3003;488;40004;41.166667,-4.0
2023-08-19;Valladolid;197740;26;13380;1791;47186;41.583333,-4.666667
2023-08-19;Ávila;57112;23;3783;655;5019;40.616092,-4.929031
2023-08-19;Burgos;130122;25;8323;1190;9059;42.383333,-3.666667
2023-08-19;Soria;35389;9;2300;398;42173;41.666667,-2.666667
2023-08-19;Zamora;58986;21;4244;758;49275;41.75,-6.0
2023-08-19;Palencia;68205;25;4528;763;34120;42.432128,-4.520647
2023-08-18;Ávila;57089;21;3782;655;5019;40.616092,-4.929031
2023-08-18;Salamanca;119596;47;7540;1275;37274;40.833333,-6.0
2023-08-18;León;151458;47;10618;1755;24089;42.666667,-6.0
2023-08-18;Palencia;68180;35;4526;763;34120;42.432128,-4.520647
2023-08-18;Valladolid;197714;33;13377;1791;47186;41.583333,-4.666667
2023-08-18;Zamora;58965;33;4242;757;49275;41.75,-6.0
2023-08-18;Burgos;130097;27;8317;1190;9059;42.383333,-3.666667
2023-08-18;Segovia;52215;9;3001;488;40004;41.166667,-4.0
2023-08-18;Soria;35380;20;2298;398;42173;41.666667,-2.666667
2023-08-17;Salamanca;119549;40;7539;1275;37274;40.833333,-6.0
2023-08-17;Valladolid;197681;31;13374;1790;47186;41.583333,-4.666667
2023-08-17;Zamora;58932;14;4241;757;49275;41.75,-6.0
2023-08-17;Ávila;57068;27;3782;655;5019;40.616092,-4.929031
2023-08-17;León;151411;38;10615;1755;24089;42.666667,-6.0
2023-08-17;Palencia;68145;14;4526;763;34120;42.432128,-4.520647
2023-08-17;Segovia;52206;9;2998;488;40004;41.166667,-4.0
2023-08-17;Burgos;130070;34;8314;1190;9059;42.383333,-3.666667
2023-08-17;Soria;35360;15;2298;398;42173;41.666667,-2.666667
2023-08-16;Ávila;57041;26;3782;655;5019;40.616092,-4.929031
2023-08-16;Segovia;52197;9;2997;488;40004;41.166667,-4.0
2023-08-16;Soria;35345;14;2296;398;42173;41.666667,-2.666667
2023-08-16;Zamora;58918;21;4237;757;49275;41.75,-6.0
2023-08-16;Burgos;130036;26;8311;1190;9059;42.383333,-3.666667
2023-08-16;León;151373;62;10610;1755;24089;42.666667,-6.0
2023-08-16;Salamanca;119509;38;7538;1275;37274;40.833333,-6.0
2023-08-16;Palencia;68131;17;4524;763;34120;42.432128,-4.520647
2023-08-16;Valladolid;197650;28;13365;1790;47186;41.583333,-4.666667
2023-08-15;Ávila;57015;18;3782;655;5019;40.616092,-4.929031
2023-08-15;Burgos;130010;14;8310;1189;9059;42.383333,-3.666667
2023-08-15;Palencia;68114;5;4524;763;34120;42.432128,-4.520647
